Or,FreeFlow,Car_Avg,PT_Avg,FullFreq,POP2017
07901001,1362857,1259690,1100180,1316246,459
07901002,1347927,1255262,1109514,1317313,4070
07901003,1365498,1275204,1144008,1360456,8807
07901004,1359710,1270642,1208593,1448102,6900
07901005,1374050,1285543,1181671,1405361,2618
07901006,1355641,1262891,1111240,1343953,151
07901007,1361077,1266913,1172102,1405451,6174
07901008,1326644,1234732,1121968,1340971,11069
07901009,1346656,1250253,1121862,1342330,5401
07901010,1389622,1307927,1115638,1334416,1479
07901011,1340123,1220612,1055171,1353039,2
07901012,1361568,1256140,1169186,1433478,7464
07901013,1377055,1279496,1152377,1374056,1913
07901014,1399373,1298829,1181409,1408043,2330
07901015,1401031,1299630,1158202,1425009,2448
07901016,1352609,1215403,992752,1250400,3941
07901017,1301974,1175956,1048873,1294871,10952
07901018,1302658,1188025,1132697,1355758,3068
07901019,1286786,1161893,1059993,1274378,13292
07901020,1331722,1202083,1107391,1338791,12186
07901021,1367072,1239002,1080485,1309859,8082
07901022,1362653,1217938,1024609,1231665,13032
07901023,1364471,1233435,1065751,1277642,6135
07902024,1316900,1194029,989904,1311007,8977
07902025,1374511,1224204,961096,1276406,5955
07902026,1353586,1211894,956457,1248077,7476
07902027,1364929,1209035,1018361,1291216,12221
07902028,1356893,1204146,1077852,1304921,12316
07902029,1380661,1209110,933259,1234719,12110
07902030,1384172,1225737,1064964,1290911,10677
07902031,1398864,1242218,1071297,1298079,6127
07902032,1358189,1210499,1079011,1325765,8781
07902033,1378983,1231857,1046164,1279593,0
07902034,1382765,1237171,983212,1256500,1105
07902035,1366792,1212845,951422,1212441,6230
07902036,1348517,1182492,980434,1244089,10980
07902037,1332070,1166156,883454,1110298,325
07902038,1356380,1184461,1053987,1258290,8678
07902039,1369058,1200646,1045040,1260129,11243
07902040,1331558,1162718,957638,1171118,7
07902041,1346714,1175034,1019493,1222452,9725
07902042,1380032,1204550,951697,1212145,16212
07902043,1390018,1213739,945680,1213398,0
07902044,1389341,1244106,1135155,1384400,0
07902045,1408497,1242472,1028007,1261411,2498
07903046,1410745,1310634,1056429,1323850,2854
07903047,1414440,1307583,926689,1107293,0
07903048,1410950,1311222,1096554,1305398,13207
07903049,1395332,1276894,1041017,1306524,8063
07903050,1394161,1269212,1033566,1297870,78
07903051,1381844,1262226,933509,1128791,8682
07903052,1408832,1282480,1111888,1346477,10
07903053,1406231,1277959,1134504,1370044,5
07903054,1428088,1293541,1076300,1333696,4182
07903055,1392466,1284570,1008931,1245672,1
07903056,1390049,1267481,1036511,1235620,7565
07903057,1380252,1253196,1000205,1242418,7606
07903058,1412337,1286044,939300,1210109,9165
07903059,1407369,1271204,1000118,1266551,5309
07903060,1397484,1262436,1086723,1330237,9822
07903061,1405080,1265466,1038778,1276027,11815
07903062,1376213,1228719,1016548,1259012,6239
07903063,1376496,1237181,1060590,1291196,12007
07903064,1402997,1251683,1009882,1264451,11905
07904065,1426982,1339605,1088457,1332473,6556
07904066,1417678,1327419,1143955,1372102,10454
07904067,1412714,1325976,1155559,1372149,8870
07904068,1444695,1352024,1024594,1269490,15487
07904069,1416378,1324235,1032428,1256218,10809
07904070,1431813,1345653,1091125,1327246,2758
07904071,1434098,1340030,1101616,1335249,6587
07904072,1411508,1325510,1157199,1379461,11885
07904073,1419176,1326649,1067796,1293752,14369
07904074,1424522,1332983,1108175,1334336,6166
07904075,1408661,1304251,1146464,1365349,9397
07904076,1413655,1304111,1105875,1306381,8809
07904077,1381876,1278278,1024747,1240566,10306
07904078,1367469,1266804,992930,1214508,10288
07904079,1456743,1336196,906503,1171955,0
07904080,1400489,1313162,1129685,1351856,11067
07905081,1331950,1252979,939169,1226208,4
07905082,1390445,1294125,1054060,1284522,2032
07905083,1401026,1313529,889080,1194666,0
